id,name,price,discount_rate
74021317,Cây Cam Ngọt Của Tôi,64900,40
188940817,Vị Thần Của Những Quyết Định,49770,37
189643105,Không Phải Sói Nhưng Cũng Đừng Là Cừu -Tặng kèm bookmark 2 mặt,83200,35
26114399,"Nóng Giận Là Bản Năng , Tĩnh Lặng Là Bản Lĩnh",56070,37
109017985,"Thiên Tài Bên Trái, Kẻ Điên Bên Phải (Tái Bản)",112770,37
174301838,BỘ BOOKMARK 1% TINH HOA,49000,0
52789367,Nhà Giả Kim (Tái Bản 2020),48980,38
69764541,Tâm Lý Học Hành Vi (Tặng Kèm 1 Bookmark ),63700,35
174444163,"Dear, Darling",55440,37
73207240,Xa Ngoài Kia Nơi Loài Tôm Hát - Where The Crawdads Sing,122200,26
121635154,Điều Đẹp Nhất Có Khi Là Buông Tay (Tặng Kèm Bookmark),45360,37
147920903,Một Thoáng Ta Rực Rỡ Ở Nhân Gian,85050,37
3954355,Yêu Những Điều Không Hoàn Hảo,87570,37
73787185,Những Tù Nhân Của Địa Lý,132300,37
117254517,Đại Dương Đen - Những Câu Chuyện Từ Thế Giới Của Trầm Cảm,151200,37
42230121,Sách Hiểu Về Trái Tim (Tái Bản 2019) - Minh Niệm,124900,21
46240929,Rèn Luyện Tư Duy Phản Biện,64800,35
117238177,Thư Viện Nửa Đêm,94500,37
143217512,Điềm Tĩnh Và Nóng Giận,60480,37
72882553,Kỷ Luật Tự Giác (Tặng Kèm Bookmark ),52920,37
195801653,Chú Thuật Hồi Chiến - Tập 6 - Bản Tặng Kèm Obi Và Thẻ Bo Góc Nhựa,21000,30
157432544,Giải Thích Ngữ Pháp Tiếng Anh (Với Bài Tập Và Đáp Án) (Tái Bản),146900,33
121635152,Không Ai Có Thể Làm Bạn Tổn Thương Trừ Khi Bạn Cho Phép (Tặng Kèm 1 Bộ Bookmark Gồm 4 Cái),74970,37
190861557,Yêu Những Ngày Nắng Chẳng Ghét Những Ngày Mưa,83160,37
196515658,Blue Period - Tập 04,43100,10
193151000,"Trend Following – Cách thức để kiếm được VẬN MAY LỚN và GIÀU CÓ trong các thị trường BÒ, GẤU và các sự kiện THIÊN NGA ĐEN",599000,0
194959173,Semantic Error – Lỗi Logic (Tập 2),155000,40
72459686,How Psychology Works - Hiểu Hết Về Tâm Lý Học,189000,37
195969664,Tokyo Revengers - Tập 4,52000,55
8885999,Totto - Chan Bên Cửa Sổ (Tái Bản),61740,37
68585576,"Càng Kỷ Luật, Càng Tự Do",70850,35
106863963,Tâm Lý Học - Phác Họa Chân Dung Kẻ Phạm Tội,91350,37
145288029,Xứ Cát,136950,45
111285062,Đắc Nhân Tâm (Bìa Mềm)(Tái Bản),55800,35
85763211,Hãy Khiến Tương Lai Biết Ơn Vì Hiện Tại Bạn Đã Cố Gắng Hết Mình (Tặng Kèm: 01 Bookmark),64350,35
194960721,Blue Period - Tập 03,24000,50
3304875,Điều Kỳ Diệu Của Tiệm Tạp Hóa NAMIYA (Tái Bản),66150,37
10095276,Ikigai - Bí Mật Sống Trường Thọ Và Hạnh Phúc Của Người Nhật,56700,37
113530805,Tuổi Trẻ Đáng Giá Bao Nhiêu (Tái Bản),56700,37
168283405,Chiến Tranh Tiền Tệ - Phần 1 - Ai Thực Sự Là Người Giàu Nhất Thế Giới ( Tái Bản 2022),106000,36
