plan_w,exe_w,plan_h,exe_h,plan_wgb,exe_wgb
0.081,201.647,0.113,894.384,0.114,891.996
0.076,193.217,0.155,894.426,0.186,876.127
0.058,221.415,0.138,914.206,0.104,881.279
0.087,226.798,0.093,900.863,0.12,868.103
0.103,220.127,0.106,849.859,0.1,863.999
0.066,216.141,0.09,931.807,0.111,868.709
0.072,218.875,0.134,867.864,0.113,841.663
0.067,217.392,0.109,875.078,0.135,877.864
0.071,216.485,0.129,898.408,0.149,847.814
0.073,200.129,0.119,890.729,0.096,874.876
0.061,180.706,0.102,865.927,0.103,857.851
0.07,183.268,0.14,894.64,0.154,900.146
0.053,181.561,0.113,885.535,0.11,862.734
0.056,183.633,0.145,907.911,0.134,872.511
0.081,194.753,0.149,865.656,0.098,885.918
0.055,190.228,0.114,897.265,0.113,879.735
0.073,184.376,0.118,878.173,0.105,862.539
0.063,176.467,0.126,870.7,0.138,872.39
0.095,176.685,0.095,877.502,0.114,861.594
0.068,184.041,0.102,867.053,0.109,871.869
